time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T04:44:20.630Z,33.4023333,-116.4088333,14.9,0.67,ml,26,109,0.0921,0.3,ci,ci38906639,2019-10-19T04:48:01.273Z,"17km N of Borrego Springs, CA",earthquake,0.62,0.86,0.091,19,automatic,ci,ci
2019-10-19T04:35:39.600Z,35.8271667,-117.6291667,10.74,0.95,ml,18,51,0.02814,0.19,ci,ci38906623,2019-10-19T04:39:33.221Z,"21km WNW of Searles Valley, CA",earthquake,0.43,0.72,0.196,12,automatic,ci,ci
2019-10-19T04:18:22.947Z,66.314,-157.4517,9.5,1.6,ml,,,,0.78,ak,ak019dezez8j,2019-10-19T04:28:28.654Z,"70km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T04:17:17.360Z,19.2076664,-155.442337,34.15,1.96,md,42,154,0.05173,0.13,hv,hv71188361,2019-10-19T04:20:30.720Z,"3km E of Pahala, Hawaii",earthquake,0.68,0.85,0.14,7,automatic,hv,hv
2019-10-19T04:13:28.852Z,66.4095,-157.4958,16.3,1.6,ml,,,,1.25,ak,ak019dezdx77,2019-10-19T04:26:47.941Z,"61km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T04:07:51.040Z,36.6223335,-121.2633362,12.93,1.48,md,9,81,0.04285,0.19,nc,nc73294015,2019-10-19T04:32:02.063Z,"15km NW of Pinnacles, CA",earthquake,1.02,1.34,0.36,7,automatic,nc,nc
2019-10-19T04:06:24.320Z,19.1958332,-155.4414978,34.11,1.91,md,47,152,0.05871,0.11,hv,hv71188356,2019-10-19T04:09:41.650Z,"4km ESE of Pahala, Hawaii",earthquake,0.6,0.84,0.12,7,automatic,hv,hv
2019-10-19T04:02:51.030Z,17.9461,-66.9858,15,1.54,md,3,315,0.0629,0.13,pr,pr2019292000,2019-10-19T07:29:42.716Z,"7km ESE of La Parguera, Puerto Rico",earthquake,1.89,1.37,0.22,3,reviewed,pr,pr
2019-10-19T04:01:07.780Z,19.4008331,-155.2863312,0.37,1.74,md,13,80,0.01298,0.08,hv,hv71188346,2019-10-19T04:04:06.790Z,"6km WSW of Volcano, Hawaii",earthquake,0.23,0.5,0.21,10,automatic,hv,hv
2019-10-19T03:48:57.905Z,60.1937,-150.9998,51,2.5,ml,,,,0.58,ak,ak019dez01te,2019-10-19T04:33:17.719Z,"25km SE of Cohoe, Alaska",earthquake,,0.9,,,automatic,ak,ak
